,No,SR,Township,Hospital,HosPt,PUI,Suspected,M,F,Child,Adult,Lab_Neg,Confirmed,Death,Recovered,Pending,DC,Latitude,Longitude,Column19,Column20,Column21,Column22,Column23,Column24,Column25,FID
80,81,Yangon Region,Dagon Myothit (East),Psychiatric Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,16.962441,96.262819,,,,,,,,81
81,82,Bago Region,Pyay,Pyay General Hospital,6,6,0,4,2,0,6,2,4,0,0,0,0,18.822797,95.246573,,,,,,,,82
82,83,Bago Region,Nyaunglebin,Pyuntasa Station Hospital,5,5,0,2,3,0,5,4,0,0,0,1,0,17.866373,96.706812,,,,,,,,83
83,84,Mandalay Region,Yamethin,Thit Son Gyi Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,20.458122,95.866902,,,,,,,,84
84,85,Kachin State,Bhamo,Bhamo General Hospital,6,6,0,3,3,0,6,4,0,0,0,2,0,24.26363,97.23044,,,,,,,,85
85,86,Yangon Region,Hlaingtharyar,Hlaingtharyar General Hospital,7,7,0,3,4,0,7,4,0,0,0,3,0,16.875174,96.064131,,,,,,,,86
86,87,Bago Region,Kyauktaga,Hpa Do Station Hospital,4,4,0,3,1,0,4,4,0,0,0,0,0,18.03439,96.56165,,,,,,,,87
87,88,Magway Region,Tilin,Tilin Township Hospital,1,1,0,0,1,0,1,0,0,0,0,1,0,21.6919898,94.0955076,,,,,,,,88
88,89,Sagaing Region,Kani,Kani Township Hospital,1,1,0,1,0,0,1,0,0,0,0,1,0,22.4345133,94.8475552,,,,,,,,89
89,90,Sagaing Region,Salingyi,Kyar Tet Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,21.84678,94.93815,,,,,,,,90
90,91,Bago Region,Minhla,Minhla Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,17.97713,95.70412,,,,,,,,91
91,92,Ayeyarwaddy Region,Myaungmya,Myaungmya General Hospital,5,5,0,4,1,0,5,4,0,0,0,1,0,16.6024565,94.9283201,,,,,,,,92
92,93,Bago Region,Kyauktaga,Myo Chaung Station Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,18.07911,96.46584,,,,,,,,93
93,94,Mandalay Region,Nyaung-U,Nyaung-U General Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,21.1839683,94.9114729,,,,,,,,94
94,95,Shan (South) State,Loilen,Pinlon Hospital,4,4,0,3,1,0,4,1,0,0,0,3,0,20.9950199,97.5315371,,,,,,,,95
95,96,Ayeyarwaddy Region,Ngapudaw,Pyin Kha Yaing Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,15.9810759,94.4000793,,,,,,,,96
96,97,Bago Region,Thegon,Thegon Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,18.64403,95.41725,,,,,,,,97
97,98,Yangon Region,Thanlyin,Thanlyin General Hospital,2,2,0,1,1,0,2,0,0,0,0,2,0,16.75965,96.25311,,,,,,,,98
98,99,Shan (South) State,Taunggyi,Women & Children Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,20.776514,97.039215,,,,,,,,99
99,100,Bago Region,Kyauktaga,Aung Myin Station Hospital,1,1,0,1,0,0,1,0,0,0,0,1,0,18.13183,96.49503,,,,,,,,100
100,101,Sagaing Region,Ayadaw,Ayadaw Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,18.13183,96.49503,,,,,,,,101
101,102,Shan (North) State,Kunlong,Chinshwehaw Station Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,22.283435,95.447305,,,,,,,,102
102,103,Kayah State,Demoso,Demoso Township Hospital,6,6,0,5,1,0,6,5,0,0,0,1,0,23.475182,98.820594,,,,,,,,103
103,104,Bago Region,Kawa,Kawa Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,17.087712,96.453756,,,,,,,,104
104,105,Shan (North) State,Kunlong,Kunlong Township Hosptial,2,2,0,1,1,0,2,2,0,0,0,0,0,17.08808,96.45392,,,,,,,,105
105,106,Shan (South) State,Kyethi,Kyethi Township Hospital,2,2,0,1,1,0,2,0,0,0,0,2,0,23.41534,98.64494,,,,,,,,106
106,107,Ayeyarwaddy Region,Lattputta,Lattputta Hospital,3,3,0,3,0,0,3,3,0,0,0,0,0,21.927507,97.822597,,,,,,,,107
107,108,Mandalay Region,Myittha,Mongmao Station Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,21.3091,96.212033,,,,,,,,108
108,109,Sagaing Region,Monyaw,Monyaw General Hospital,5,5,0,2,3,0,5,4,0,0,0,1,0,22.11999,95.13035,,,,,,,,109
109,110,Sagaing Region,Tabayin,Mukangyi Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,22.51302,95.485352,,,,,,,,110
110,111,Yangon Region,Mingalardon,Pale Myo Thit Hospital,4,4,0,2,2,0,4,4,0,0,0,0,0,16.989764,96.143254,,,,,,,,111
111,112,Sagaing Region,Shwebo,Shwe Bo Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,22.564106,95.700697,,,,,,,,112
112,113,Bago Region,Minhla,Sit Kwin Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,17.890469,95.719843,,,,,,,,113
113,114,Nay Pyi Taw,Tatkone,Tatkone Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,20.1491,96.193568,,,,,,,,114
114,115,Yangon Region,Kyeemyindaing,West Yangon General Hospital,2,2,0,0,2,0,2,2,0,0,0,0,0,16.79575,96.12614,,,,,,,,115
115,116,Bago Region,Waw,ThaYethamein Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,17.67334,96.89824,,,,,,,,116
116,117,Sagaing Region,Ye-U,Ye-U Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,22.756749,95.429292,,,,,,,,117
117,118,Sagaing Region,Yinmarpin,Yinmarpin Township Hospital,3,3,0,3,0,0,3,3,0,0,0,0,0,22.077761,94.898461,,,,,,,,118
118,119,Kachin State,Waimaw,Waimaw Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,25.347575,97.434282,,,,,,,,119
119,120,Magway Region,Gangaw,Gangaw General Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,22.171959,94.127008,,,,,,,,120
120,121,Chin State,Hakha,Hakha General Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,22.647725,93.608364,,,,,,,,121
121,122,Ayeyarwaddy Region,Hinthada,Hinthada General Hospital,2,2,0,2,0,0,2,1,0,0,0,1,0,17.634738,95.455841,,,,,,,,122
122,123,Kayin State,Kawkaraik,Kawkaraik General Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,16.558445,98.244907,,,,,,,,123
123,124,Mon State,Kyaikto,Kyaikto Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,17.308041,97.021112,,,,,,,,124
124,125,Kayah State,Demoso,Lo Bar Kho Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,19.531676,96.936511,,,,,,,,125
125,126,Shan (North) State,Namhkan,Namhkan Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,23.840194,97.695136,,,,,,,,126
126,127,Bago Region,Kyaukdagar,Paenwekone Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,18.228678,96.56013,,,,,,,,127
127,128,Kayah State,Hpruso,Hpruso Township Hospital,4,4,0,1,3,0,4,4,0,0,0,0,0,19.40799,97.11578,,,,,,,,128
128,129,Shan (North) State,Hseni,Hseni Township Hospital,2,2,0,1,1,0,2,2,0,0,0,0,0,23.301146,97.966444,,,,,,,,129
129,130,Mandalay Region,Wundwin,Wundwin Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,21.094184,96.033401,,,,,,,,130
130,131,Mon State,Ye,Ye Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,15.246196,97.852976,,,,,,,,131
131,132,Tanintharyi Region,Dawei,Dawei General Hospital,3,3,0,3,0,0,3,3,0,0,0,0,0,14.079178,98.203081,,,,,,,,132
132,133,Kayin State,Hpapun,Hpapun Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,18.058694,97.444594,,,,,,,,133
133,134,Shan (North) State,Kyaukme,Kyaukme General Hospital,7,7,0,6,1,0,7,6,1,0,0,0,0,22.523722,97.031882,,,,,,,,134
134,135,Bago Region,Letpadan,Letpadan Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,17.786597,95.757126,,,,,,,,135
135,136,Magway Region,Mindon,Mindon Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,19.350322,94.731013,,,,,,,,136
136,137,Magway Region,Pauk,Yae Pyar Station Hospital,1,1,0,1,0,0,1,0,0,0,0,1,0,21.42435,94.61947,,,,,,,,137
137,138,Kayin State,Hlaingbwe,Hlaingbwe Township Hospital,3,3,0,2,1,0,3,1,0,0,0,2,0,17.11999,97.81791,,,,,,,,138
138,139,Kayin State,Kyainseikgyi,Kyainseikgyi Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,16.044644,98.124166,,,,,,,,139
139,140,Kayin State,Kawkareik,Kyon Doe Station Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,16.598761,98.042428,,,,,,,,140
140,141,Nay Pyi Taw,Lewe,Lewe Township Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,19.656245,96.122546,,,,,,,,141
141,142,Kachin State,Mogaung,Mogaung Township Hospital,1,1,0,0,1,1,0,1,0,0,0,0,0,25.30183,96.93226,,,,,,,,142
142,143,Kayah State,Shadaw,Shadaw Township Hospital,3,3,0,3,0,0,3,1,0,0,0,2,0,19.631621,97.522138,,,,,,,,143
143,144,Rakhine State,Thandwe,Thandwe General Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,18.46492,94.35941,,,,,,,,144
144,145,Shan (South) State,Pinlaung,Thi Kyit Station Hospital,1,1,0,0,1,0,1,0,0,0,0,1,0,20.413234,96.707693,,,,,,,,145
145,146,Magway Region,Kamma,Yae Nant Thar Station Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,19.110536,95.03327,,,,,,,,146
146,147,Shan (North) State,Kutkai,Kutkai Township Hospital,2,2,0,1,1,0,2,2,0,0,0,0,0,23.460202,97.929538,,,,,,,,147
147,148,Shan (South) State,Nyaungshwe,Nyaungshwe Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,20.655528,96.930019,,,,,,,,148
148,149,Sagaing Region,Pale,Pale Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,21.933043,94.878472,,,,,,,,149
149,150,Bago Region,Shwegyin,Shwegyin Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,17.931562,96.881221,,,,,,,,150
150,151,Mandalay Region,Pyawbwe,Yin Taw Station Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,20.709802,95.944295,,,,,,,,151
151,152,Bago Region,Okpho,Okpho Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,18.125067,95.672145,,,,,,,,152
152,153,Shan (South) State,Lawksawk,Pin Hpyit Station Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,21.094716,96.920927,,,,,,,,153
153,154,Shan (South) State,Loilen,Loilen General Hospital,2,2,0,2,0,0,2,1,0,0,0,1,0,20.918138,97.562868,,,,,,,,154
154,155,Ayeyarwaddy Region,Bogale,Bogale Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,16.278396,95.411039,,,,,,,,155
155,156,Shan (South) State,Hopong,Hopong Township Hospital,2,2,0,0,2,0,2,0,0,0,0,2,0,20.797669,97.177649,,,,,,,,156
156,157,Shan (South) State,Langkho,Langkho General Hospital,3,3,0,3,0,0,3,3,0,0,0,0,0,20.342486,97.997831,,,,,,,,157
157,158,Mandalay Region,Yamethin,Yamethin General Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,20.436332,96.135801,,,,,,,,158
158,159,Mandalay Region,Kyaukpadaung,Popa Station Hospital,2,2,0,2,0,0,2,2,0,0,0,0,0,20.935594,95.197044,,,,,,,,159
159,160,Ayeyarwaddy Region,Einme,Einme Township Hospital,1,1,0,0,1,0,1,1,0,0,0,0,0,16.9011807,95.1747104,,,,,,,,160
160,161,Magway Region,Myaing,Kaing Taw Ma Station Hospital,1,1,0,1,0,0,1,0,0,0,0,1,0,21.519856,94.763328,,,,,,,,161
161,162,Bago Region,Oktwin,Kywe Pwe Station Hospital,5,5,0,4,1,0,5,1,0,0,0,4,0,18.714488,96.407113,,,,,,,,162
162,163,Shan (North) State,Manton,Manton Township Hospital,1,1,0,0,1,0,1,0,0,0,0,1,0,23.2465407,97.1191986,,,,,,,,163
163,164,Bago Region,Nattalin,Nattalin Township Hospital,1,1,0,1,0,0,1,1,0,0,0,0,0,18.434715,95.550291,,,,,,,,164
164,165,Sagaing Region,Katha,Moe Dar Lay Station Hospital,1,1,0,1,0,0,1,0,0,0,0,1,0,24.308858,96.502536,,,,,,,,165
165,166,Sagaing Region,Katha,Katha General Hospital,2,2,0,2,0,0,2,0,0,0,0,2,0,24.181671,96.341128,,,,,,,,166
166,167,Mandalay Region,Mahlaing,Mahlaing Township Hospital,1,1,0,1,0,0,1,0,0,0,0,1,0,21.097841,95.645464,,,,,,,,167
167,168,Tanintharyi Region,Kawthoung,Kawthoung General Hospital,1,1,0,1,0,0,1,0,0,0,0,1,0,9.993702,98.547913,,,,,,,,168
168,169,Bago Region,Paukkhaung,Paukkhaung Township Hospital,2,2,0,2,0,0,2,0,0,0,0,2,0,18.91018,95.554714,,,,,,,,169
